Region,State,Value
9,NY,92.9871
2,DE,91.8939
3,FL,92.7567
2,DC,91.8939
11,NC,92.573
1,RI,92.2518
5,CA,92.1861
5,NM,92.1861
9,VT,92.2518
5,NV,92.1861
2,MD,91.8939
5,AZ,92.1861
1,MA,92.2518
1,CT,92.2518
11,KY,92.573
2,NJ,91.8939
7,MN,93.373
11,TN,92.573
11,SC,92.573
6,OR,91.4583
8,CO,92.5334
3,GA,92.7567
7,IL,93.373
6,WA,91.4583
4,TX,92.1938
2,PA,91.8939
3,AR,92.7567
8,NE,92.5334
1,ME,92.2518
7,WI,93.373
7,SD,93.373
8,MO,92.5334
11,VA,92.573
8,IA,92.5334
8,KS,92.5334
1,NH,92.2518
3,AL,92.7567
10,IN,91.7655
3,MS,92.7567
10,OH,91.7655
10,MI,91.7655
6,ID,91.4583
4,OK,92.1938
6,MT,91.4583
7,ND,93.373
5,UT,92.1861
2,WV,91.8939
3,LA,92.7567
8,WY,92.5334
6,HI,91.4583
6,AK,91.4583
