Region,State,Stage1,Stage2,Stage3,WaitingTime
1,RI,92.2518,90.4965,82.411,207.332
1,MA,92.2518,90.4965,82.411,207.332
1,CT,92.2518,90.4965,82.411,207.332
1,ME,92.2518,90.4965,82.411,207.332
1,NH,92.2518,90.4965,82.411,207.332
2,DE,91.8939,88.88,80.8356,202.28
2,DC,91.8939,88.88,80.8356,202.28
2,MD,91.8939,88.88,80.8356,202.28
2,NJ,91.8939,88.88,80.8356,202.28
2,PA,91.8939,88.88,80.8356,202.28
2,WV,91.8939,88.88,80.8356,202.28
3,FL,92.7567,89.4,82.0524,207.47
3,GA,92.7567,89.4,82.0524,207.47
3,AR,92.7567,89.4,82.0524,207.47
3,AL,92.7567,89.4,82.0524,207.47
3,MS,92.7567,89.4,82.0524,207.47
3,LA,92.7567,89.4,82.0524,207.47
4,TX,92.1938,89.4717,81.7271,208.518
4,OK,92.1938,89.4717,81.7271,208.518
5,CA,92.1861,88.982,81.8605,208.452
5,NM,92.1861,88.982,81.8605,208.452
5,NV,92.1861,88.982,81.8605,208.452
5,AZ,92.1861,88.982,81.8605,208.452
5,UT,92.1861,88.982,81.8605,208.452
6,OR,91.4583,87.2387,79.6758,216.1
6,WA,91.4583,87.2387,79.6758,216.1
6,ID,91.4583,87.2387,79.6758,216.1
6,MT,91.4583,87.2387,79.6758,216.1
6,HI,91.4583,87.2387,79.6758,216.1
6,AK,91.4583,87.2387,79.6758,216.1
7,MN,93.373,90.5096,83.5594,206.547
7,IL,93.373,90.5096,83.5594,206.547
7,WI,93.373,90.5096,83.5594,206.547
7,SD,93.373,90.5096,83.5594,206.547
7,ND,93.373,90.5096,83.5594,206.547
8,CO,92.5334,88.8837,79.8826,197.724
8,NE,92.5334,88.8837,79.8826,197.724
8,MO,92.5334,88.8837,79.8826,197.724
8,IA,92.5334,88.8837,79.8826,197.724
8,KS,92.5334,88.8837,79.8826,197.724
8,WY,92.5334,88.8837,79.8826,197.724
9,NY,92.9871,89.9624,80.9701,192.623
1,VT,92.2518,89.9624,80.9701,207.332
10,IN,91.7655,88.5518,81.6762,199.229
10,OH,91.7655,88.5518,81.6762,199.229
10,MI,91.7655,88.5518,81.6762,199.229
11,NC,92.573,89.3834,82.1509,205.945
11,KY,92.573,89.3834,82.1509,205.945
11,TN,92.573,89.3834,82.1509,205.945
11,SC,92.573,89.3834,82.1509,205.945
11,VA,92.573,89.3834,82.1509,205.945
